,Item_Outlet_Sales,Item_Identifier,Outlet_Identifier
342,2495.6191,FDN20,OUT049
343,4142.618,DRL01,OUT046
344,1924.0167,FDV56,OUT049
345,2544.1953,DRH13,OUT027
346,2581.3184,FDA03,OUT017
347,5574.3027,FDF47,OUT027
348,2664.9429,FDX32,OUT046
349,1567.4515,FDX57,OUT049
350,3049.223,NCA30,OUT045
351,730.49713,FDO49,OUT013
352,195.04135,FDL04,OUT019
353,687.1195,DRM48,OUT035
354,5644.356,FDR16,OUT013
355,3496.8047,NCC19,OUT018
356,2920.5273,NCE42,OUT045
357,1004.2499,FDY24,OUT017
358,2430.8374,FDH19,OUT049
359,2721.1843,FDJ46,OUT013
360,633.28894,FDN45,OUT010
361,2091.4001,FDY08,OUT035
362,1449.1633,FDZ37,OUT035
363,817.3058,NCT30,OUT045
364,476.27478,DRY23,OUT018
365,1232.2902,NCZ30,OUT018
366,2085.7764,FDC44,OUT018
367,1952.7472,FDB45,OUT035
368,2600.567,FDY04,OUT013
369,2916.671,FDM27,OUT046
370,4292.5605,FDZ43,OUT017
371,170.82333,FDT39,OUT019
372,307.74673,NCC06,OUT019
373,3693.6055,FDL15,OUT027
374,5208.4272,FDL57,OUT017
375,1416.8466,FDU08,OUT046
376,3876.9653,FDK40,OUT017
377,297.97232,FDQ12,OUT010
378,2706.826,FDS48,OUT017
379,3978.639,FDP09,OUT045
380,1553.0194,FDW21,OUT049
381,3860.2898,FDY25,OUT035
382,1356.9897,DRE13,OUT017
383,43.482605,FDV43,OUT019
384,1644.6348,FDD22,OUT045
385,282.39624,FDM46,OUT019
386,507.4683,NCO30,OUT010
387,2874.7993,FDM25,OUT046
388,2126.4502,NCN41,OUT049
389,1413.1613,FDU24,OUT045
390,3075.6091,FDZ50,OUT046
391,3527.6248,FDP45,OUT013
392,1963.8467,NCM54,OUT045
393,74.96474,FDW10,OUT019
394,2041.3579,FDP20,OUT017
395,2486.2886,FDK32,OUT046
396,1313.6044,FDN52,OUT049
397,1992.4138,FDM58,OUT045
398,3120.6914,FDZ46,OUT027
399,1448.9719,NCA18,OUT018
400,2264.583,FDD35,OUT046
401,758.1919,NCK31,OUT035
402,2774.5962,FDI40,OUT027
403,244.10933,FDT50,OUT019
404,2480.3115,NCT06,OUT046
405,3794.0989,FDT31,OUT035
406,851.73737,FDT45,OUT049
407,4141.46,FDT13,OUT045
408,1335.098,FDO50,OUT045
409,385.94525,NCU18,OUT010
410,2933.2153,NCR54,OUT049
411,2526.68,NCO18,OUT018
412,725.3598,FDU09,OUT045
413,2671.3174,FDT13,OUT018
414,1630.0531,FDE09,OUT046
415,364.94568,NCK53,OUT019
416,3409.1973,FDG45,OUT049
417,600.6997,DRH15,OUT035
418,336.61554,FDO21,OUT019
419,4956.722,FDD14,OUT027
420,1623.5078,FDC09,OUT046
421,1168.8932,FDH45,OUT027
422,1077.4917,FDV32,OUT046
423,1984.3793,FDG12,OUT035
424,2010.427,FDS32,OUT013
425,3425.786,NCL55,OUT018
426,3893.5322,DRE01,OUT035
427,1282.3325,DRE15,OUT049
428,3878.6377,NCL42,OUT045
429,698.1191,FDP31,OUT013
430,1329.9323,FDN33,OUT018
431,3176.858,FDZ59,OUT046
432,376.5618,FDE45,OUT010
433,1692.139,FDJ07,OUT013
434,2924.9956,FDQ45,OUT018
435,4945.511,FDM33,OUT027
436,130.45915,FDO15,OUT010
437,1459.5178,FDM46,OUT013
438,3369.9512,FDR03,OUT045
439,2723.3994,FDY49,OUT018
440,1840.5477,FDQ60,OUT045
441,2650.8923,FDW10,OUT049
442,780.35596,FDO51,OUT049
443,1323.7058,FDJ40,OUT018
444,2475.3801,FDS20,OUT018
445,2417.8835,FDU45,OUT013
446,3039.912,FDV02,OUT035
447,3770.0251,FDN09,OUT046
448,5143.47,NCM55,OUT027
449,2526.2847,FDN23,OUT018
450,186.49492,FDY31,OUT010
451,806.3026,FDW03,OUT010
452,2765.8987,FDD14,OUT046
453,1976.6816,FDV23,OUT017
454,2725.6096,DRI03,OUT045
455,1538.7988,FDN13,OUT035
456,1666.8485,FDF45,OUT027
457,1432.3462,FDU46,OUT035
458,4364.3193,FDB57,OUT049
459,1814.311,FDV12,OUT049
460,2012.4099,FDQ58,OUT013
461,1798.3367,NCA18,OUT017
462,927.60657,FDH52,OUT049
463,2428.6418,FDM24,OUT018
464,4356.9834,NCP43,OUT027
465,937.4124,NCO18,OUT019
466,1455.9479,FDM32,OUT017
467,638.75653,NCL07,OUT017
468,4084.3584,FDK03,OUT013
469,1520.1863,FDP59,OUT017
470,4113.2036,FDQ24,OUT049
471,1651.4009,FDQ16,OUT018
472,2681.5688,FDU44,OUT013
473,105.77873,FDH28,OUT010
474,98.60755,FDV28,OUT019
475,895.69257,FDM22,OUT045
476,3107.332,FDR56,OUT046
477,2982.0918,FDV39,OUT049
478,254.36568,FDU37,OUT019
479,259.66943,FDQ11,OUT010
480,3738.4663,FDX02,OUT045
481,945.1876,NCS42,OUT018
482,2716.2107,FDY57,OUT027
483,4265.3477,FDB21,OUT049
484,3501.3162,FDE28,OUT017
485,2076.8923,FDQ55,OUT017
486,4040.0984,FDA48,OUT049
487,2357.6755,FDZ19,OUT045
488,3162.345,NCC43,OUT045
489,1969.0118,NCV18,OUT046
490,2349.9417,NCA42,OUT018
491,3469.82,FDY45,OUT046
492,2528.39,NCC30,OUT045
493,1244.9727,FDM57,OUT013
494,531.33496,FDL09,OUT010
495,3132.849,FDB09,OUT027
496,1832.8984,FDT44,OUT035
497,3997.6655,NCT06,OUT027
498,3117.0774,FDX26,OUT049
499,2913.6775,FDK32,OUT013
500,2176.668,DRA12,OUT046
501,762.13165,FDO46,OUT010
502,1332.2521,FDE52,OUT013
503,4143.9766,NCH42,OUT045
504,659.145,FDV08,OUT035
505,2300.8772,FDB47,OUT018
506,276.015,FDC28,OUT010
507,1824.4797,FDD22,OUT046
508,2955.773,FDS07,OUT027
509,3206.6067,DRI13,OUT045
510,3571.0286,FDG32,OUT018
511,4267.3813,FDU14,OUT017
512,230.4945,FDD28,OUT019
513,1625.9666,NCP41,OUT017
514,1815.6577,FDS08,OUT049
515,2264.3484,FDX47,OUT045
516,220.99489,FDC53,OUT019
517,3854.968,FDQ19,OUT035
518,2551.3813,FDL14,OUT045
519,536.5254,FDM33,OUT019
520,2034.9617,FDA51,OUT045
521,465.24826,FDZ27,OUT018
522,583.8608,FDT04,OUT046
523,1830.4087,DRC13,OUT049
524,5194.9375,FDR16,OUT027
525,6346.5557,FDQ03,OUT027
526,2806.049,FDE38,OUT035
527,1854.5507,DRH23,OUT027
528,249.9901,FDT11,OUT019
529,3384.1868,FDD09,OUT035
530,1507.966,FDR40,OUT045
531,3089.0254,FDX07,OUT017
532,1545.5826,FDR07,OUT035
533,2131.0483,FDA51,OUT017
534,748.01385,FDT59,OUT019
535,3450.8433,FDF20,OUT017
536,1972.5194,FDR13,OUT045
537,4899.056,FDY26,OUT049
538,2118.726,FDW04,OUT017
539,4765.1094,FDK52,OUT017
540,2994.5244,FDN60,OUT049
541,1023.05725,FDM09,OUT019
542,1349.3475,FDP46,OUT049
543,247.75584,FDB50,OUT019
544,4176.1714,NCQ29,OUT049
545,7806.4023,FDP16,OUT027
546,2143.1433,FDX33,OUT018
547,359.20584,FDP07,OUT010
548,3633.1492,FDN22,OUT046
549,5149.0967,FDF39,OUT049
550,1105.6754,FDS21,OUT017
551,1756.6116,NCM42,OUT013
552,436.4099,FDK50,OUT019
553,3636.1907,DRF13,OUT027
554,2032.588,FDH35,OUT018
555,1398.8844,FDP60,OUT018
556,3267.6223,DRJ49,OUT027
557,361.43173,NCT42,OUT019
558,3004.6257,FDE38,OUT049
559,2877.0288,FDI04,OUT049
560,2606.4058,NCH54,OUT045
561,977.7764,FDT56,OUT049
562,3134.092,DRD15,OUT018
563,2681.498,FDV58,OUT013
564,3773.649,FDP21,OUT049
565,3170.66,FDH05,OUT013
566,4402.5566,FDR10,OUT027
567,2831.6797,NCP06,OUT045
568,2151.2126,FDF33,OUT049
569,4451.3955,DRK37,OUT013
570,1363.5815,DRH49,OUT045
571,2683.651,FDT58,OUT013
572,1152.1201,FDD41,OUT018
573,1673.2562,FDP40,OUT018
574,2534.6365,FDM51,OUT027
575,204.91548,FDO45,OUT010
576,247.22304,FDW33,OUT010
577,824.51624,FDY24,OUT045
578,248.16733,FDB10,OUT010
579,2395.9546,FDM40,OUT035
580,3126.4395,NCI06,OUT017
581,450.9357,FDW12,OUT019
582,3880.6794,FDX48,OUT027
583,2651.9492,NCW05,OUT027
584,1810.608,FDX27,OUT017
585,3063.2773,DRM37,OUT045
586,3301.341,FDA38,OUT045
587,832.1615,FDR36,OUT046
588,3346.8647,FDZ45,OUT046
589,2571.533,FDG05,OUT017
590,5054.87,FDK28,OUT013
591,1281.323,FDV47,OUT045
592,2132.4812,FDN21,OUT045
593,3387.1304,FDP20,OUT027
594,3414.323,FDI35,OUT045
595,700.50964,DRY23,OUT013
596,2164.74,FDA56,OUT017
597,1952.8123,FDB09,OUT013
598,2935.583,NCO26,OUT027
599,2618.3728,FDQ49,OUT018
600,3412.4844,FDI52,OUT027
601,2960.246,FDZ44,OUT027
602,2394.6956,FDZ09,OUT018
603,1931.624,FDY03,OUT049
604,2171.442,NCG42,OUT017
605,4861.6387,DRI13,OUT027
606,2179.8364,FDQ32,OUT013
607,1579.0153,FDW16,OUT035
608,870.47864,FDU27,OUT046
609,529.9532,FDR28,OUT010
610,467.837,FDQ49,OUT010
611,1947.2927,FDS37,OUT046
612,3185.9668,FDW26,OUT018
613,3600.9568,FDX12,OUT018
614,2093.0198,NCP06,OUT013
615,315.97107,FDW45,OUT010
616,1440.647,NCN30,OUT049
617,550.994,FDN24,OUT049
618,1064.9869,NCL41,OUT027
619,134.51572,FDR02,OUT019
620,460.2597,FDD09,OUT010
621,196.88687,FDS33,OUT010
622,1994.3594,FDU22,OUT045
623,2446.7676,FDI53,OUT013
624,2968.8801,DRH01,OUT049
625,2372.3035,FDX32,OUT013
626,422.91428,NCP30,OUT018
627,3334.017,FDB60,OUT045
628,1477.7537,FDB14,OUT049
629,945.9089,NCP02,OUT035
630,1888.6174,FDJ10,OUT017
631,1764.2844,FDG34,OUT046
632,1672.4818,NCB18,OUT017
633,1390.6461,FDM16,OUT049
634,1197.9242,FDW25,OUT018
635,208.98418,FDB35,OUT010
636,2327.9363,DRN11,OUT013
637,559.6068,FDF41,OUT019
638,1234.1022,FDH16,OUT045
639,3073.882,NCQ50,OUT018
640,996.6263,DRH23,OUT018
641,2089.392,DRJ37,OUT013
642,5250.3906,DRJ24,OUT027
643,2861.162,FDY16,OUT035
644,2204.1123,FDQ27,OUT045
645,2224.408,FDZ33,OUT045
646,2016.319,FDF29,OUT045
647,2359.256,FDA08,OUT049
648,1085.3544,FDG31,OUT046
649,134.98988,FDE34,OUT019
650,1998.5414,NCR30,OUT027
651,3368.907,FDV33,OUT035
652,1776.6023,DRZ24,OUT018
653,2765.7007,NCL54,OUT035
654,2869.4314,FDR12,OUT049
655,3765.028,NCC54,OUT046
656,636.90344,DRN59,OUT013
657,251.79204,FDX50,OUT019
658,4337.026,FDV31,OUT027
659,4615.5483,NCA29,OUT027
660,2660.9749,FDW60,OUT049
661,3640.4885,FDX08,OUT017
662,3111.057,DRD49,OUT013
663,3429.2927,FDD33,OUT046
664,610.8598,FDW35,OUT013
665,1654.1886,FDJ36,OUT017
666,3255.774,FDV51,OUT035
667,1308.861,FDW36,OUT046
668,1907.2472,FDH35,OUT046
669,3362.6973,NCS30,OUT027
670,634.8966,FDN49,OUT017
671,2791.3381,FDL08,OUT018
672,3821.9807,FDI09,OUT013
673,1833.2389,FDP19,OUT018
674,-29.346436,FDU21,OUT010
675,1505.1167,NCP41,OUT045
676,2058.067,FDY10,OUT013
677,429.10855,FDP12,OUT018
678,2056.1738,NCN26,OUT049
679,2906.723,FDK44,OUT013
680,1358.5197,FDC28,OUT049
681,6897.4194,FDJ41,OUT027
682,1999.3188,NCT29,OUT035
683,519.56903,NCH42,OUT019
684,2732.3196,FDU60,OUT018
685,4049.2852,FDS02,OUT045
686,2025.1134,FDC51,OUT046
687,2862.6528,FDU03,OUT013
688,4024.2576,FDX39,OUT045
689,127.07872,NCY05,OUT010
690,6242.107,NCL06,OUT027
691,1663.5385,FDD32,OUT035
692,1981.4595,NCN41,OUT045
693,2239.9207,NCX53,OUT049
694,228.92935,FDU57,OUT019
695,1743.6139,FDQ23,OUT046
696,4303.887,FDQ52,OUT045
697,419.3147,FDC14,OUT045
698,2941.8372,FDY09,OUT035
699,2617.8555,FDQ28,OUT045
700,5807.828,FDV25,OUT046
701,1937.3113,FDJ07,OUT035
702,1652.9501,DRB25,OUT049
703,567.7672,FDK52,OUT019
704,1545.851,FDY52,OUT027
705,2791.5356,FDB28,OUT046
706,578.16046,FDT36,OUT035
707,4203.0864,FDV25,OUT017
708,3825.2126,NCN07,OUT027
709,3400.2146,FDC57,OUT017
710,2855.957,FDQ03,OUT018
711,2846.1038,FDU23,OUT017
712,3640.057,NCX41,OUT035
713,854.48676,NCD06,OUT035
714,1528.5027,FDW08,OUT045
715,2147.5723,NCU29,OUT017
716,2301.4585,NCE06,OUT013
717,213.96947,FDV52,OUT010
718,2967.843,FDB02,OUT017
719,602.11945,NCR18,OUT045
720,1630.6044,FDK16,OUT049
721,563.9418,NCQ29,OUT010
722,135.1716,FDZ01,OUT019
723,2914.3528,FDW27,OUT035
724,2008.1158,FDD17,OUT018
725,2511.325,FDW39,OUT013
726,999.4101,DRH59,OUT045
727,1520.3546,FDS52,OUT013
728,5292.097,FDU40,OUT027
729,2747.7092,NCF54,OUT013
730,1743.9008,FDH46,OUT045
731,1943.9025,NCP14,OUT049
732,3546.0278,FDH50,OUT049
733,74.8877,DRF15,OUT010
734,2252.5342,FDV27,OUT027
735,2304.0842,NCJ06,OUT049
736,3281.8108,FDN02,OUT018
737,766.9284,FDQ51,OUT049
738,3801.0034,FDQ07,OUT017
739,2118.1035,FDS45,OUT049
740,2093.0786,NCJ06,OUT045
741,2248.2922,FDD36,OUT035
742,3965.4482,FDY25,OUT045
743,2529.8499,FDU52,OUT046
744,4499.381,DRK47,OUT017
745,2166.5176,NCL30,OUT017
746,3367.4807,FDN22,OUT035
747,3639.9958,NCF30,OUT027
748,4891.933,FDK03,OUT035
749,837.7195,FDT45,OUT017
750,6500.2217,NCC54,OUT027
751,2739.9148,FDP08,OUT018
752,2648.3298,FDU44,OUT046
753,916.2697,DRG39,OUT035
754,2303.5042,FDU32,OUT049
755,3128.7256,FDY27,OUT049
756,2043.3469,NCP54,OUT013
757,1961.9371,NCZ41,OUT049
758,2168.9844,DRL49,OUT013
759,1230.7441,FDI05,OUT018
760,4711.099,FDY56,OUT045
761,1736.9253,DRC13,OUT013
762,2632.2205,NCV29,OUT017
763,1663.2379,FDR24,OUT049
764,2768.5066,FDZ34,OUT018
765,2152.4348,FDP37,OUT035
766,4455.6855,FDX08,OUT027
767,1914.4497,FDS57,OUT045
768,1670.5828,NCG18,OUT049
769,2641.5984,FDK25,OUT018
770,1373.0507,FDH53,OUT049
771,3565.1646,DRI59,OUT018
772,2335.5498,FDA52,OUT046
773,-257.87378,FDT20,OUT010
774,458.037,FDE36,OUT019
775,3157.973,FDI24,OUT017
776,2854.9116,FDB28,OUT018
777,2832.0999,FDV11,OUT017
778,2065.6936,FDP01,OUT046
779,4065.361,FDD34,OUT027
780,1413.8258,FDJ50,OUT027
781,1405.7742,FDZ44,OUT013
782,1216.9375,DRO59,OUT035
783,583.00055,DRB48,OUT045
784,2473.7778,FDR21,OUT018
785,1287.2007,NCE42,OUT010
786,1447.6006,FDO23,OUT046
